"Title","Subtitle","Author","Author (Last","Publisher","Date Published","Year Published","Summary","Number of Pages","ISBN","EAN","書封","分類"
"死前之吻","A Kiss Before Dying","艾拉．雷文","Ira Levin","遠流","2001/01/01","2001","","399","9789573244103","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=egswZRl19c%409789573244103-%E6%AD%BB%E5%89%8D%E4%B9%8B%E5%90%BB.jpg","謀殺專門店"
"毒巧克力命案","The Poisoned Chocolates Case","安東尼．柏克萊","Anthony Berkeley","遠流","2001/08/01","2001","","271","9789573244059","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=g6GxZ7t1I6%409789573244059-%E6%AF%92%E5%B7%A7%E5%85%8B%E5%8A%9B%E5%91%BD%E6%A1%88.jpg","謀殺專門店"
"古烏伏手卷","The Godwulf Manuscript","羅勃．派克","Robert B. Parker","遠流","2001/06/01","2001","","272","9789573243762","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=87iqaXb1f9%409789573243748-%E5%8F%A4%E7%83%8F%E4%BC%8F%E6%89%8B%E5%8D%B7.jpg","謀殺專門店"
"禮諾謀殺案","The Rynox Murder","菲利普．麥唐諾","Philip MacDonald","遠流","2001/01/01","2001","","207","9789573243762","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=hB305mH4PG%409789573243762-%E7%A6%AE%E8%AB%BE%E8%AC%80%E6%AE%BA%E6%A1%88.jpg","謀殺專門店"
"迷途羔羊","God Save the Child","羅勃．派克","Robert B. Parker","遠流","2001/01/01","2001","","","9789573243168","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=AXf6rbqtjo%409789573243168-%E8%BF%B7%E9%80%94%E7%BE%94%E7%BE%8A.jpg","謀殺專門店"
"恐怖角","Cape Fear","約翰．麥唐諾","John D. MacDonald","遠流","2001/02/15","2001","","288","9789573242994","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=47898V4QrO%409789573242994-%E6%81%90%E6%80%96%E8%A7%92.jpg","謀殺專門店"
"深藍再見","The Deep Blue Good-by","約翰．麥唐諾","John D. MacDonald","遠流","2001/01/01","2001","","255","9789573243403","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=2cN0m0JdqT%409789573242994-%E6%81%90%E6%80%96%E8%A7%92.jpg","謀殺專門店"
"人不可貌相","Skin Deep","彼得．狄金生","Peter Dickinson","遠流","2002/01/01","2002","","255","9789573248002","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=11G2zeSt7j%409789573248002-%E4%BA%BA%E4%B8%8D%E5%8F%AF%E8%B2%8C%E7%9B%B8.jpg","謀殺專門店"
"貴族之死","Death of A Peer","奈歐．馬許","Ngaio Marsh","遠流","2002/01/01","2002","","495","9789573247975","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=I9zZgm65u0%409789573247975-%E8%B2%B4%E6%97%8F%E4%B9%8B%E6%AD%BB.jpg","謀殺專門店"
"棉花闖哈林","Cotton Comes To Harlem","卻斯特‧海姆斯","Chester Himes","遠流","2002/01/01","2002","","319","9789573247234","","https://ap13.ragic.com/sims/file.jsp?a=gcboytw&f=a4kxd16vLF%409789573247234-%E6%A3%89%E8%8A%B1%E9%97%96%E5%93%88%E6%9E%97.jpg","謀殺專門店"
